"date","absc532-TKB","absc1064-TKB","absc532-TKO","absc1064-TKO","absc532-TYM","absc1064-TYM"
2010-03-01,1.82749768179157e-06,1.96572728791336e-06,1.52044128111262e-06,2.09531178279975e-06,2.9262018755578e-06,2.08555806509472e-06
2010-03-02,1.63763881356258e-06,1.60741112750731e-06,1.80472127902303e-06,1.75266476526127e-06,1.86526285564633e-06,1.62243472700355e-06
2010-03-03,1.65217549488713e-06,1.69910346065988e-06,1.67501990714315e-06,1.65814624561815e-06,1.66308942919673e-06,1.72456894265937e-06
2010-03-04,1.92336224641476e-06,1.78436571007837e-06,1.51652050756735e-06,1.16872595705197e-06,1.59423642221443e-06,3.66369792123873e-06
2010-03-05,2.16970337195252e-06,2.07222143552293e-06,1.1299078556952e-06,1.17645299034178e-06,2.23629028642482e-06,1.64202439144576e-06
2010-03-06,2.40953874255245e-06,4.51029491813667e-06,1.87314485813891e-06,3.71205683142912e-06,4.14451704876305e-06,6.71812130203634e-06
2010-03-07,1.86499896028857e-06,1.80627562153318e-06,1.05231700742348e-06,1.75039279399121e-06,2.27881147595155e-06,3.44080785527311e-06
2010-03-08,4.96761667266466e-06,4.47729123449352e-06,6.0399037225019e-06,4.32882773726315e-06,3.89861904126223e-06,2.21683569739145e-06
2010-03-09,2.56894616891332e-06,2.24806825235621e-06,4.1086337863999e-06,2.0213085399508e-06,2.9343509684415e-06,2.1591073789043e-06
2010-03-10,1.48194324737485e-06,2.58371413512854e-06,1.57899003132353e-06,4.76785272365772e-06,1.46422074251732e-06,4.73056107185104e-06
2010-03-11,2.93161177531683e-06,1.67384448499779e-06,2.9885143167048e-06,1.11301000185094e-06,2.69018575979379e-06,1.48715060680862e-06
2010-03-12,1.18047935302967e-06,2.85046431151285e-06,1.30991750455297e-06,2.46859805704521e-06,1.15156660231075e-06,3.81656895450939e-06
2010-03-13,1.99215782689402e-06,9.4429923570947e-07,1.21304393196316e-06,7.62209010210718e-07,3.51304138022588e-06,2.81120614518867e-06
2010-03-14,1.66777448872491e-06,2.433819421021e-06,1.61154455783754e-06,1.13150980295896e-06,2.92217825550585e-06,2.59342763427058e-06
2010-03-15,2.36397412510722e-06,3.69359790924317e-06,3.8160187403289e-06,3.44429597967767e-06,2.69436257498285e-06,2.82383100214971e-06
2010-03-16,4.09643806183329e-06,2.93270761862398e-06,2.87810917701793e-06,3.68476196981013e-06,3.17687888109861e-06,2.33804350941664e-06
2010-03-17,2.20178754894882e-06,1.48260188718383e-06,2.90232014313916e-06,1.42840439710686e-06,1.41221591302226e-06,1.68470949991734e-06
2010-03-18,1.48240569652545e-06,2.13975854911052e-06,1.43678478646019e-06,1.47785789944237e-06,1.63081084233713e-06,1.64195576206007e-06
2010-03-19,3.58540684157013e-06,2.26591968135991e-06,2.53151122668212e-06,2.52343545658813e-06,2.77212695199518e-06,1.87217053833306e-06
2010-03-20,1.6672050231981e-06,4.18670558873351e-06,1.46537102802733e-06,3.62349894875458e-06,1.36684104098043e-06,4.77070553303867e-06
2010-03-21,6.27011251247981e-06,5.4701977820324e-06,3.77853492569323e-06,3.37001914743717e-06,4.86613522643238e-06,2.2456660251178e-06
2010-03-22,2.93269558087972e-06,3.20911892289107e-06,2.82427320621302e-06,2.41390445567323e-06,1.55879335850514e-06,1.43928686880721e-06
2010-03-23,2.10775333977469e-06,3.50160298415584e-06,2.01774962600428e-06,2.4013727324407e-06,1.67996905424971e-06,2.24320981067505e-06
2010-03-24,1.14397922457071e-06,1.72109802767436e-06,7.4587059933896e-07,1.46800422623178e-06,4.53777165298381e-06,2.23270760159536e-06
2010-03-25,3.20524894603844e-06,1.72952254818922e-06,2.76653156959386e-06,1.62568519816557e-06,2.04839266934069e-06,1.6132686514141e-06
2010-03-26,2.42655439755044e-06,2.91587445176958e-06,1.91397593831893e-06,2.89824522171191e-06,2.20257185985708e-06,2.13753189283182e-06
2010-03-27,3.77069482139492e-06,2.1375764156034e-06,3.45006935482865e-06,1.88168394821238e-06,2.36038712828826e-06,1.78085321778166e-06
2010-03-28,2.33846527631135e-06,2.35934907956853e-06,2.23328544322204e-06,2.26162148066034e-06,2.19266098628493e-06,1.70669772684872e-06
2010-03-29,1.38978751326057e-06,2.01653747019499e-06,1.46955853111687e-06,2.66960953272969e-06,1.44451421843973e-06,2.64638031607591e-06
2010-03-30,3.87204054204839e-06,3.41809518438411e-06,4.59545161716437e-06,4.70231807472436e-06,2.68627748037073e-06,4.45598073330086e-06
2010-03-31,3.34392428132932e-06,1.65284891835895e-06,2.29583732439233e-06,1.71219425278332e-06,3.22267291349312e-06,2.53029795939703e-06
2010-04-01,2.22487558339696e-06,2.82671000899671e-06,3.4672621662599e-06,2.04300723130551e-06,2.27016551623357e-06,2.66725471613964e-06
2010-04-02,3.41059592890284e-06,2.71751514203853e-06,2.50465197301826e-06,2.38187583958916e-06,2.45490577266455e-06,1.9778834298147e-06
2010-04-03,3.17715767564587e-06,2.82982709097218e-06,2.40008741081461e-06,1.81303601183203e-06,2.1019607169984e-06,3.18902638576345e-06
2010-04-04,3.05027098336791e-06,2.76312775625974e-06,2.02091305669218e-06,2.10536487167239e-06,2.57811831658254e-06,1.87331952115006e-06
2010-04-05,2.5943344406196e-06,3.44388182772035e-06,2.0029595461633e-06,2.33207729538552e-06,1.87065414651781e-06,2.25970983212107e-06
2010-04-06,2.15627909164588e-06,3.40527734706791e-06,1.60815489105409e-06,4.9739957465742e-06,2.16303286237117e-06,3.40006726280358e-06
2010-04-07,4.34645836365359e-06,2.95245374335522e-06,3.50636851510655e-06,1.66156624933349e-06,3.37738885387623e-06,2.68547405655394e-06
2010-04-08,2.70666152154808e-06,2.22635263201393e-06,1.92173109768292e-06,1.57612802646432e-06,4.03541482669113e-06,3.98044059151049e-06
2010-04-09,2.34275696560846e-06,1.39182446854807e-06,1.92952773374067e-06,1.53049365703095e-06,3.38759092819725e-06,1.77086703493695e-06
2010-04-10,1.69041685655781e-06,1.52324354296403e-06,1.43593351068462e-06,1.44923677584827e-06,1.44415447141799e-06,2.41814714221055e-06
2010-04-11,1.59629814539318e-06,1.60808332507777e-06,1.65116762821734e-06,1.61533306355185e-06,1.61433292612848e-06,2.10900209908674e-06
2010-04-12,1.99319404254597e-06,1.85289668466447e-06,3.15459916911532e-06,1.74450038392107e-06,1.75371925576126e-06,1.52322331709079e-06
2010-04-13,2.37225088471278e-06,2.44841171916169e-06,1.84487102828978e-06,2.7317483443566e-06,1.75058914540093e-06,3.19270830989764e-06
2010-04-14,2.45903258964281e-06,1.62672089837721e-06,2.33087714832258e-06,1.70775365620698e-06,1.7297537916163e-06,1.45873227823459e-06
2010-04-15,1.78222042598498e-06,4.27564791534986e-06,1.84923379926058e-06,3.25244518640458e-06,6.14256405895773e-06,4.50844108944397e-06
2010-04-16,3.3330283871733e-06,2.51060855048035e-06,2.46986676990171e-06,4.49586665907202e-06,2.52470328799937e-06,2.36026377517456e-06
2010-04-17,2.44054250634734e-06,3.44516122381249e-06,2.01848697778377e-06,2.22724685124703e-06,2.37599509725273e-06,2.42641439326614e-06
2010-04-18,1.98601530202681e-06,1.90312099361665e-06,1.73230961679922e-06,1.80233608021146e-06,2.50567881171864e-06,1.53607743449136e-06
2010-04-19,2.10096396368632e-06,2.32080462707823e-06,1.76463661971242e-06,1.75133296895755e-06,1.84829847743669e-06,3.60661311259597e-06
2010-04-20,2.24498205800229e-06,4.9471048006559e-06,2.4660302192672e-06,4.53908688167314e-06,4.2522235980443e-06,4.03953647607174e-06
2010-04-21,6.62556736390042e-06,3.70694838781987e-06,4.69561653408581e-06,2.26952270066707e-06,2.4251274690747e-06,5.20183108436847e-06
2010-04-22,2.38084603842943e-06,5.93090082733757e-06,1.68597304213474e-06,5.33383625508404e-06,3.34297513558684e-06,3.6694310779659e-06
2010-04-23,5.29724685028465e-06,3.45519838484687e-06,2.83441588575499e-06,2.82204775648692e-06,2.85072179083378e-06,2.73314215460745e-06
2010-04-24,1.8245345092405e-06,1.99602613485028e-06,1.78885979618032e-06,1.75727331046869e-06,3.49240867733738e-06,3.32590516744096e-06
2010-04-25,2.01390105065889e-06,2.97587386655312e-06,1.6781178711892e-06,2.55387133004058e-06,2.36490664132597e-06,2.05363308075196e-06
2010-04-26,4.32852975770757e-06,4.86499486980979e-06,2.7385259147375e-06,3.31813168851296e-06,1.95245086786233e-06,1.42729186910549e-06
2010-04-27,2.21220440044882e-06,1.73245937096398e-06,1.96529849866299e-06,1.60285374429005e-06,1.59877508234184e-06,1.53913607034841e-06
2010-04-28,2.06476262916829e-06,1.91048239499523e-06,1.53844446673173e-06,1.85972374667476e-06,1.55366664964703e-06,1.89827371078312e-06
2010-04-29,1.63420321555138e-06,1.67973397251512e-06,1.67553459434855e-06,1.69058627528483e-06,1.80962297524701e-06,1.6687402923802e-06
2010-04-30,1.65922185376502e-06,1.51220484609173e-06,1.6205414674593e-06,1.34449225438394e-06,1.44317925509552e-06,1.54943612986461e-06
2010-05-01,1.77422723514587e-06,1.5840401649876e-06,1.40410359373842e-06,1.76426980832875e-06,1.38767895521081e-06,2.51538683455659e-06
2010-05-02,1.02942714835839e-06,2.11150263843896e-06,1.67220860640423e-06,2.36189960829728e-06,1.75382597334903e-06,1.71935765650762e-06
2010-05-03,1.85655283560231e-06,1.63060447800241e-06,1.68971980784424e-06,1.67635380609722e-06,2.81208348322627e-06,3.24313225617473e-06
2010-05-04,2.06527299150576e-06,1.92226193657514e-06,2.37290546120223e-06,2.0333874418126e-06,1.43351827632907e-06,1.83333137788862e-06
2010-05-05,1.59035029275796e-06,3.3248291905305e-06,8.48346534608981e-07,1.60736559232655e-06,1.37575513469658e-06,2.38693940243879e-06
2010-05-06,3.59898452578526e-06,3.25254621611407e-06,1.66732821830051e-06,2.95617745769916e-06,3.66027900997825e-06,2.62801022278119e-06
2010-05-07,2.18851505863428e-06,1.81130340332432e-06,1.43494251728498e-06,1.09371045483585e-06,1.48680328731091e-06,2.91352742673206e-06
2010-05-08,3.48131734449353e-06,3.97297649707083e-06,1.52096347607754e-06,1.92636353407528e-06,3.96021216900724e-06,2.19141112255585e-06
2010-05-09,5.1517114477175e-06,5.57574751754103e-06,3.64932153766038e-06,3.46722502963899e-06,2.43569350420241e-06,3.80045589257751e-06
2010-05-10,3.82340359540595e-06,2.55912814139974e-06,1.41562782055193e-06,2.19335574637739e-06,3.4994672338135e-06,2.13176618371773e-06
2010-05-11,1.8055728102237e-06,2.63605478499593e-06,2.95456368336149e-06,2.91608306543113e-06,2.2717888840796e-06,3.89886949495317e-06
2010-05-12,2.58781163358928e-06,1.25360437310212e-06,2.30254773237062e-06,1.6769358418817e-06,3.69805894566805e-06,2.2164038772358e-06
2010-05-13,2.93797000612697e-06,7.20060774579003e-07,1.98420784090881e-06,9.68550583368283e-07,1.16800738546235e-06,2.49466692724661e-06
2010-05-14,3.45600827261549e-06,1.57360429700973e-06,4.50348153693533e-06,1.98032672894475e-06,2.15914921866818e-06,1.45719335941439e-06
2010-05-15,2.62061071638005e-06,1.99531684119601e-06,2.90744681912784e-06,1.10549280238098e-06,4.60197623732973e-06,1.90820278841992e-06
2010-05-16,3.10278710973748e-06,4.41971054884868e-06,3.20036434881057e-06,4.483737561367e-06,3.80606338208648e-06,6.52574460726966e-06
2010-05-17,2.69030759072999e-06,3.41611926520931e-06,1.34264335358879e-06,2.76826933926713e-06,2.71564328399442e-06,1.9343597548552e-06
2010-05-18,2.2059196287083e-06,4.96209279754584e-06,1.93791895556852e-06,3.38003673172145e-06,2.54985176707977e-06,5.40261558664125e-06
2010-05-19,4.33298661570243e-06,3.54407237964983e-06,1.81661601735589e-06,2.08797002894357e-06,2.58234941050185e-06,3.50772706306185e-06
2010-05-20,1.83934517673281e-06,6.51067725080227e-06,1.90066633935678e-06,3.69603642205001e-06,1.47436622940627e-06,1.90081269856178e-06
2010-05-21,3.81382364922255e-06,2.58943022299567e-06,2.67808196223004e-06,1.34664860519295e-06,3.01385217036123e-06,4.09421529881693e-06
2010-05-22,2.13763384954494e-06,3.52365782260546e-06,1.91936302841713e-06,1.59681758852258e-06,3.27386685066704e-06,2.35765769207248e-06
2010-05-23,5.43532542768499e-06,4.34480183687921e-06,3.09254154895308e-06,2.54889395191247e-06,3.83553295772123e-06,6.23275750198589e-06
2010-05-24,3.54633937388483e-06,3.69217536477827e-06,2.4696808171405e-06,2.14168951465769e-06,2.91518507984512e-06,1.87069725590464e-06
2010-05-25,1.99522487666585e-06,2.30364534095285e-06,2.32785695151964e-06,2.22634124261199e-06,3.13193207025634e-06,2.46142969142274e-06
2010-05-26,1.9862643476213e-06,3.6723995324797e-06,2.97381002835683e-06,4.11291999613015e-06,1.47223603698608e-06,1.9655233713548e-06
2010-05-27,3.9328177680862e-06,3.38875378186618e-06,3.34340897971361e-06,2.78706369840079e-06,2.26697512168327e-06,3.68227156463593e-06
2010-05-28,2.62076869576008e-06,1.19147068455174e-06,3.55824711662796e-06,1.5630749786464e-06,2.7443057814601e-06,2.25925225480817e-06
2010-05-29,3.77435139287035e-06,3.55608605726522e-06,2.81707930505404e-06,3.13775076255478e-06,2.47820293782369e-06,1.6163611856774e-06
2010-05-30,4.58080701593523e-06,1.53288638507559e-06,5.97955607837968e-06,4.33593436689497e-06,1.32155803806012e-06,2.77079693588624e-06
2010-05-31,1.25622285395145e-06,3.46704705988734e-06,3.28828485736392e-06,5.49500738471078e-06,2.48184254916006e-06,3.03508763870947e-06
2010-06-01,3.45242766712573e-06,3.7814520064065e-06,2.94765934249192e-06,1.97862471959075e-06,5.22370743583609e-06,5.12580221789188e-06
2010-06-02,7.92653703590272e-06,6.96631428953441e-06,1.67908681494264e-06,3.28631300953883e-06,3.39133415558809e-06,3.17250071377114e-06
2010-06-03,2.29183820460589e-06,3.11885752295355e-06,2.14738857058412e-06,2.13544754680651e-06,1.96340111739854e-06,4.5853211048232e-06
2010-06-04,2.07004915648965e-06,4.74065019080318e-06,1.42120331403279e-06,2.42035194020669e-06,2.69572701244991e-06,1.48994730632665e-06
2010-06-05,4.76038088648911e-06,3.90016377788533e-06,4.40423840545656e-06,1.81526644611301e-06,2.21248949866624e-06,2.3383181920051e-06
2010-06-06,2.67023548332162e-06,2.25926373387056e-06,1.26224540889296e-06,1.49802012398186e-06,2.01907853632006e-06,2.82214840259618e-06
2010-06-07,1.75871961301281e-06,1.71837306312857e-06,1.65455271453801e-06,1.70209157601029e-06,2.75216402009545e-06,2.38557136607222e-06
2010-06-08,3.93146675443242e-06,2.15807890081843e-06,3.68086215820738e-06,2.10436837135499e-06,1.31554243132062e-06,9.19646981852294e-06
2010-06-09,3.65301661665438e-06,2.94877707441612e-06,3.26723067290809e-06,3.92969127414551e-06,2.50412715698613e-06,1.85156085511364e-06
2010-06-10,2.26000899044713e-06,2.81526794565284e-06,1.87598824886524e-06,1.90330525956931e-06,3.82402121152721e-06,2.49003283775651e-06
2010-06-11,3.07371335821029e-06,1.89900537438223e-06,3.3681375145401e-06,2.69925944849472e-06,1.97758554603707e-06,1.62837139595078e-06
2010-06-12,3.83038568772348e-06,2.73998138301283e-06,3.29054985208945e-06,2.1573336281613e-06,2.609245361861e-06,2.56747239985092e-06
2010-06-13,4.3533393010011e-06,1.22900346175896e-06,4.58722646707342e-06,2.11036173814311e-06,3.61499002543338e-06,3.02696496642435e-06
2010-06-14,3.71677939558353e-06,3.50066746699569e-06,3.99159201643552e-06,3.53087558605108e-06,6.71737076414571e-06,3.05260282162773e-06
2010-06-15,1.9711962961907e-06,1.95323623000209e-06,1.79765142393823e-06,1.74619341984647e-06,3.05896651810879e-06,3.84377589803565e-06
2010-06-16,9.80855627574641e-07,1.43991629815868e-06,1.27936104802718e-06,1.99388231973523e-06,3.19798840773989e-06,3.90711367337505e-06
2010-06-17,1.19664297068109e-06,4.74081488246763e-06,1.46131085154316e-06,2.84865403794638e-06,1.14165969468791e-06,2.90367996997205e-06
2010-06-18,1.90482584980717e-06,1.04781859005476e-06,1.31102191320145e-06,1.29658267984096e-06,3.45499514925979e-06,4.38529339092664e-06
2010-06-19,1.60022090862596e-06,2.47974693689053e-06,2.24486522960943e-06,2.52957461540173e-06,1.60156955951769e-06,2.4940448131278e-06
2010-06-20,4.20355732870248e-06,2.18730852188605e-06,3.28764696200881e-06,2.9641470144388e-06,2.1230680419027e-06,5.20625022545607e-06
2010-06-21,8.22470077556184e-07,1.62960636956555e-06,1.31105285135958e-06,1.74825333503561e-06,3.81203523735074e-06,2.09274684274525e-06
2010-06-22,1.61093345865063e-06,5.27804024173674e-06,1.76322963767853e-06,3.86402667546413e-06,3.21882079163972e-06,1.38392943051787e-05
2010-06-23,1.48763146611728e-06,3.18011528060213e-06,9.9207769150064e-07,2.59715052459455e-06,2.82221768719032e-06,2.7782517022305e-06
2010-06-24,6.53903237432713e-06,1.92710834931044e-06,4.48720129734864e-06,1.7720773619026e-06,3.34109625870787e-06,3.31054862846236e-06
2010-06-25,1.77110919261105e-06,1.98826325479775e-06,1.56885500867724e-06,1.90603258808377e-06,5.02189767005686e-06,2.19529613486256e-06
2010-06-26,4.68882604378054e-06,1.45359429306805e-06,3.75153069684237e-06,1.52079921271388e-06,3.19215120828798e-06,2.0829664862767e-06
2010-06-27,2.91372135662825e-06,1.26897350018302e-06,2.32486377631411e-06,1.35124010095326e-06,4.14442798707702e-06,4.66898733513633e-06
2010-06-28,1.24203978963211e-06,2.49338347606873e-06,1.32582244582149e-06,1.88949813784512e-06,2.82756535533345e-06,7.44612056055751e-07
2010-06-29,1.51497538394552e-06,1.90124833645909e-06,1.36789303647247e-06,1.82879569140843e-06,1.60877411390075e-06,3.77779555785368e-06
2010-06-30,1.27238217558953e-06,1.756405564932e-06,1.30307432908356e-06,1.66533556069636e-06,3.40991628471549e-06,3.48710131250001e-06
2010-07-01,1.61629146208511e-06,3.83156428888891e-06,2.10816788428992e-06,3.5922096305127e-06,2.97310183427447e-06,2.78579876505794e-06
2010-07-02,1.85021069287872e-06,1.51122320911119e-07,1.51490372472474e-06,6.01507249386918e-08,2.65063113515019e-06,2.0524370118624e-06
2010-07-03,4.33064076597447e-07,2.42384268835411e-06,9.72780152396602e-08,9.17394717066485e-07,2.19766277335411e-06,4.46915776290781e-06
2010-07-04,3.44332706043165e-06,7.33372613551999e-07,9.29227154677307e-07,2.75496133663128e-07,6.69456663638618e-06,1.57101642773411e-06
2010-07-05,1.05521210755843e-06,4.9035283181336e-06,4.5000697144155e-07,1.38121417781746e-06,2.25982319134678e-06,3.78879822784603e-06
2010-07-06,1.17241641786173e-06,2.07493547063264e-06,5.56571909959266e-07,3.47913688789707e-07,3.49735897650298e-06,4.11242814985984e-06
2010-07-07,2.33177305678686e-06,5.66533097955894e-06,7.93642163454818e-07,2.45391739283709e-06,6.79974322697627e-06,6.90170689331072e-06
2010-07-08,5.13663428934547e-06,5.27679362115941e-07,1.9041223429498e-06,4.67924919149702e-07,2.68316467486225e-06,2.21362854895621e-06
2010-07-09,5.21229963736278e-07,5.32200600410127e-07,1.5435282130178e-07,2.4210944351922e-07,1.3507377678022e-06,4.2952189164595e-06
