"date","absc532-TKB","absc1064-TKB","absc532-TKO","absc1064-TKO","absc532-TYM","absc1064-TYM"
2010-01-01,1.13759280152688e-06,1.28811741369582e-06,6.57683288837878e-07,6.99126093803044e-07,2.43470823803494e-06,2.27335813234627e-06
2010-01-02,2.9039037075918e-06,3.80548480507068e-06,1.43285984659103e-06,1.35221903907302e-06,4.5318498815411e-06,6.45035724937611e-06
2010-01-03,1.67609777376779e-06,1.75503397514753e-06,9.60276354273767e-07,1.17801376369838e-06,1.93299284864646e-06,2.57102602337951e-06
2010-01-04,5.02356558209815e-06,1.93473319994256e-06,2.5656245072003e-06,1.41548321016901e-06,4.7054356350493e-06,3.71206752078327e-06
2010-01-05,2.34701640415828e-06,2.55666572395522e-06,1.1375389525725e-06,1.38154995942433e-06,4.1154050549958e-06,6.26210195821684e-06
2010-01-06,5.03764127775174e-06,3.31280323943341e-06,2.96578625833867e-06,1.98604175740626e-06,6.46381652386113e-06,2.67808270083463e-06
2010-01-07,1.38830428649036e-06,1.3879056492456e-06,1.68311646096596e-06,1.40040303877613e-06,2.44933860552301e-06,1.6501600127309e-06
2010-01-08,1.27162390597484e-06,9.94994668580887e-07,1.46264513648026e-06,1.49101595210598e-06,4.10219453520751e-06,8.19852099975768e-06
2010-01-09,1.19492843455264e-06,1.45647715941283e-06,2.02326260968948e-06,1.48988315121472e-06,8.81862623729266e-06,3.05664730840238e-06
2010-01-10,1.96397947589788e-06,4.27997839735141e-06,1.88012293801291e-06,2.54236910202005e-06,1.420914298262e-06,3.58419036384358e-06
2010-01-11,4.12853160905529e-06,2.93997211232301e-06,2.62466721852253e-06,2.47921037071052e-06,4.193862039537e-06,4.51675932512706e-06
2010-01-12,4.26090934936054e-06,1.82893433619865e-06,3.67721803467653e-06,1.49181262986039e-06,2.5688475701949e-06,5.33009548317006e-06
2010-01-13,2.49817720097375e-06,1.1808455522623e-06,1.61762298941387e-06,1.33120364440579e-06,4.3475779033989e-06,3.73155986872574e-06
2010-01-14,3.07649340572987e-06,2.56148645201401e-06,2.55398172186228e-06,1.93126197669068e-06,3.52572035219134e-06,2.35281051558935e-06
2010-01-15,3.00211671395634e-06,4.33010075600325e-06,2.21007312855402e-06,2.67466346964437e-06,4.1521881049814e-06,7.63003976929697e-06
2010-01-16,3.08229992116618e-06,3.45631755999751e-06,2.17712038406885e-06,1.8344264187263e-06,2.33929050798719e-06,3.42190683870368e-06
2010-01-17,3.42401427457445e-06,6.24170860685682e-06,2.26942075185387e-06,2.259439405059e-06,2.05270277879614e-06,1.32067245647038e-06
2010-01-18,1.60341244996181e-06,2.9623823263976e-06,1.43910572267047e-06,2.26232301444496e-06,2.30502412920923e-06,1.67224908644756e-06
2010-01-19,1.2962565747736e-06,1.72034714063447e-06,1.69623902681112e-06,1.9874852093193e-06,3.63016821323544e-06,5.94234033595149e-06
2010-01-20,2.27711699966322e-06,3.97662799180664e-06,1.66643271600826e-06,2.42762419570612e-06,3.89247381318759e-06,1.65006776634195e-06
2010-01-21,6.03043775730134e-06,5.14447148556408e-06,2.08130849339828e-06,1.53010753531253e-06,2.19937069520819e-06,1.27403797941474e-06
2010-01-22,7.56339178246265e-06,2.82600963813366e-06,4.06646850963205e-06,8.83051771110847e-07,9.55458356999864e-07,2.46334916915911e-06
2010-01-23,5.49414033300645e-06,4.71500000026402e-06,3.38904625314279e-06,2.1562521292087e-06,7.48498569552741e-06,2.59367503293221e-06
2010-01-24,8.34130921487266e-06,8.10709523614299e-06,2.4861569044728e-06,5.20953488389116e-06,1.50591576309968e-06,1.10751181475469e-05
2010-01-25,3.6048792041711e-06,2.34871319072924e-06,1.83882648143655e-06,2.18433162132686e-06,4.07177574428299e-06,3.08488710335326e-06
2010-01-26,1.48312317893058e-06,3.71063847320455e-06,1.42067668608342e-06,3.2534397210135e-06,3.44731786326403e-06,1.37932639048709e-06
2010-01-27,3.17491421694828e-06,2.51173310188832e-06,1.74572673617301e-06,1.45470517839049e-06,2.86012621215351e-06,1.32041012437127e-06
2010-01-28,2.09989703718236e-06,4.01904685366289e-06,1.20763589527568e-06,1.69905194957517e-06,1.40506084999576e-06,4.00762926277365e-06
2010-01-29,5.46098129140147e-06,4.90434161603298e-06,1.46988821884654e-06,1.29435149112728e-06,1.49354596677111e-06,2.31356067679641e-06
2010-01-30,3.75484138715305e-06,3.71644189586018e-06,1.0125862197488e-06,1.38556863456294e-06,2.17561175291861e-06,1.90021195480527e-06
2010-01-31,6.03422995515765e-06,8.7917232018208e-06,2.80717193836454e-06,5.41132371033988e-06,3.12519362469565e-06,5.36215343541655e-06
2010-02-01,4.92354189726653e-06,4.10496198216547e-06,2.20415772435142e-06,1.36297490193712e-06,4.66737603348155e-06,2.83216581854909e-06
2010-02-02,4.2119908855201e-06,2.80567405823738e-06,1.78435740708127e-06,1.38223775410903e-06,2.36197908617082e-06,3.85461022202841e-06
2010-02-03,4.33739087890521e-06,3.29351484649966e-06,3.70196270729828e-06,1.20066437328703e-06,4.3359875296972e-06,1.78638198414589e-06
2010-02-04,2.7617237721978e-06,1.80929404761885e-06,1.24947390697389e-06,1.38270601991244e-06,3.85444669243229e-06,3.18608313489541e-06
2010-02-05,1.98429820139007e-06,3.16934449564023e-06,1.46026110284782e-06,1.52214759417038e-06,2.62674354701907e-06,1.43527254921984e-06
2010-02-06,2.52971386571818e-06,4.10196673933292e-06,2.00945417979702e-06,2.76454898436793e-06,1.66971596967685e-06,2.62486441096238e-06
2010-02-07,5.4594853261502e-06,3.98544356638822e-06,2.69266471785896e-06,3.33658031149855e-06,2.66018244196684e-06,3.7430354661071e-06
2010-02-08,2.98147528558095e-06,1.17935156990262e-06,2.65714794208406e-06,1.71504895116096e-06,2.86647060686112e-06,2.60442807819891e-06
2010-02-09,2.27896225680892e-06,1.1356613298496e-06,1.6835968377412e-06,1.44225678252282e-06,2.13953925453098e-06,8.34220339356353e-07
2010-02-10,1.30494271367995e-06,2.58104085129197e-06,3.43149920945252e-06,2.87398185367983e-06,1.62887221835379e-06,1.23055297360369e-06
2010-02-11,9.4678376150711e-07,1.63850504880488e-06,1.17972570715628e-06,2.86595202851085e-06,1.266263296872e-06,1.94646595347514e-06
2010-02-12,2.72992349581499e-06,1.40801433668182e-06,4.02755999039402e-06,2.72482240849489e-06,2.10253126088518e-06,2.12430623232021e-06
2010-02-13,1.81661457165466e-06,8.84408882806114e-07,3.49729450592967e-06,2.24365795834081e-06,2.18356534061976e-06,4.66443839770663e-06
2010-02-14,5.59247096077066e-07,1.13956422391185e-05,1.69751242460254e-06,7.71356604796603e-06,1.34513597707601e-05,1.56416146288933e-05
2010-02-15,7.6145917324843e-06,6.63156203580474e-06,2.69722691344396e-06,2.59573244573608e-06,3.19015374333042e-06,2.39313099878897e-06
2010-02-16,4.39826618000224e-06,4.52734696048088e-06,2.16433010200037e-06,2.12608598257785e-06,1.52512320552536e-06,1.70056756758777e-06
2010-02-17,1.558073656009e-06,3.63548816082206e-06,7.37255699750641e-07,1.41725992246892e-06,2.41147140340379e-06,2.36460538361178e-06
2010-02-18,4.80552880014616e-06,3.66535817849309e-06,2.34520852775599e-06,2.97300312406317e-06,2.28264700930611e-06,1.13597919630725e-06
2010-02-19,4.37583585550074e-06,5.8390997955782e-06,3.37592653187064e-06,2.22495982312175e-06,2.17255074153589e-06,3.06906588813323e-06
2010-02-20,6.59280700929395e-06,2.51798938458312e-06,3.88829624644921e-06,9.61699816426216e-07,1.25359227981632e-06,2.07649843286674e-06
2010-02-21,3.97136083166872e-06,3.8167297121276e-06,1.82886144918203e-06,3.74664525303917e-06,3.61266972272188e-06,4.82475819488371e-06
2010-02-22,3.60722464465898e-06,2.84735386514223e-06,2.84913009532631e-06,1.39219678606165e-06,4.0908728995226e-06,4.48102984200547e-06
2010-02-23,2.99020856818941e-06,4.81396535368302e-06,2.06304510954329e-06,4.33685276175252e-06,2.4956050332446e-06,9.73998893150636e-06
2010-02-24,2.25868280609403e-06,2.83666830052869e-06,3.11347275541554e-06,2.49700387223427e-06,3.36763267788294e-06,2.96381643875784e-06
2010-02-25,3.9518592810668e-06,6.28035625051825e-07,2.97781375602049e-06,8.87467262582058e-07,4.03741282862195e-06,1.03393730889763e-06
2010-02-26,1.71282842807953e-06,2.546126838715e-06,1.95912856986705e-06,4.61005860398045e-06,3.79418543375586e-06,5.27425225204867e-06
2010-02-27,1.01161223701067e-06,2.95073364862268e-06,2.18161164132778e-06,5.8356040573966e-06,1.52121184227554e-06,1.17066672335424e-05
2010-02-28,3.96830254038129e-06,1.35329040937069e-06,2.82295505943675e-06,8.33554929349999e-07,4.16394056348685e-06,5.75339457098236e-06
