,date,compound,concentration
0,2011-03-22,Li,0.916061160047887
1,2011-03-23,Li,0.313835492399083
2,2011-03-24,Li,0.68844027241029
3,2011-03-25,Li,0.476848219952956
4,2011-03-26,Li,0.36587868783774
5,2011-03-27,Li,0.288956821224719
6,2011-03-28,Li,0.969642494817837
7,2011-03-29,Li,0.91842481345363
8,2011-03-30,Li,0.585508996413029
9,2011-03-31,Li,0.759165379080367
10,2011-04-01,Li,0.578845107263297
11,2011-04-02,Li,0.455918548595592
12,2011-04-03,Li,0.526997747008568
13,2011-04-04,Li,0.395237585661215
14,2011-04-05,Li,0.419621137761147
15,2011-04-06,Li,0.258892975902036
16,2011-04-07,Li,0.24628418192897
17,2011-04-08,Li,0.553738251735409
18,2011-04-09,Li,1.15148556151864
19,2011-04-10,Li,1.13244458595688
20,2011-04-11,Li,0.701896549562004
21,2011-04-12,Li,0.634388503180072
22,2011-04-13,Li,0.736726097321077
23,2011-04-14,Li,0.4740412152401
24,2011-04-15,Li,0.702023080307241
25,2011-04-16,Li,0.756280610110642
26,2011-04-17,Li,0.71824937769875
27,2011-04-18,Li,0.561972383386431
28,2011-04-19,Li,0.151485659725169
29,2011-04-20,Li,0.37855448782911
30,2011-04-21,Li,0.832555112829822
31,2011-04-22,Li,0.309141174023197
32,2011-04-23,Li,0.309264073490336
33,2011-04-24,Li,0.2970885231918
34,2011-04-25,Li,0.480611093745743
35,2011-04-26,Li,0.531027716051301
36,2011-04-27,Li,0.68418275516116
37,2011-03-22,Be,0.0626399708108244
38,2011-03-23,Be,0.0351105870873313
39,2011-03-24,Be,0.0256179349496884
40,2011-03-25,Be,0.0252421181349261
41,2011-03-26,Be,0.0168438434868461
42,2011-03-27,Be,0.0113680247767217
43,2011-03-28,Be,0.0384084518016442
44,2011-03-29,Be,0.0288923683690129
45,2011-03-30,Be,0.0278754359833449
46,2011-03-31,Be,0.0483688409526929
47,2011-04-01,Be,0.0438817916844073
48,2011-04-02,Be,0.042888603800582
49,2011-04-03,Be,0.0427175800943243
50,2011-04-04,Be,0.035586190313984
51,2011-04-05,Be,0.0411048370234417
52,2011-04-06,Be,0.0321106544807704
53,2011-04-07,Be,0.0310677890886106
54,2011-04-08,Be,0.0443593287995269
55,2011-04-09,Be,0.0638470080407266
56,2011-04-10,Be,0.0723499903459913
